"maxclustersize","ntips","nhybrids","Network","level","treechild","name"
3,27,1,"simulated",1,TRUE,"sim_845"
7,68,17,"simulated",17,FALSE,"sim_846"
7,72,12,"simulated",12,FALSE,"sim_847"
3,31,1,"simulated",1,TRUE,"sim_850"
3,19,3,"simulated",2,TRUE,"sim_851"
3,33,1,"simulated",1,TRUE,"sim_852"
4,48,10,"simulated",10,FALSE,"sim_853"
3,5,1,"simulated",1,TRUE,"sim_855"
5,59,8,"simulated",7,FALSE,"sim_858"
4,55,10,"simulated",10,FALSE,"sim_859"
17,96,41,"simulated",41,FALSE,"sim_861"
4,32,5,"simulated",5,FALSE,"sim_862"
3,38,2,"simulated",2,TRUE,"sim_863"
3,28,2,"simulated",1,TRUE,"sim_864"
3,19,1,"simulated",1,TRUE,"sim_866"
3,18,1,"simulated",1,TRUE,"sim_867"
3,26,2,"simulated",1,TRUE,"sim_869"
3,15,2,"simulated",1,TRUE,"sim_870"
4,29,3,"simulated",3,FALSE,"sim_871"
3,20,2,"simulated",1,TRUE,"sim_872"
4,33,7,"simulated",7,FALSE,"sim_873"
5,64,8,"simulated",8,TRUE,"sim_874"
5,65,11,"simulated",11,FALSE,"sim_875"
4,43,7,"simulated",7,FALSE,"sim_876"
6,39,15,"simulated",14,FALSE,"sim_877"
4,29,4,"simulated",4,TRUE,"sim_878"
4,30,5,"simulated",5,FALSE,"sim_879"
3,14,2,"simulated",2,TRUE,"sim_880"
12,73,31,"simulated",31,FALSE,"sim_881"
4,15,4,"simulated",4,FALSE,"sim_882"
3,8,2,"simulated",1,TRUE,"sim_883"
3,30,4,"simulated",2,FALSE,"sim_884"
5,25,6,"simulated",6,TRUE,"sim_885"
3,37,3,"simulated",2,TRUE,"sim_886"
3,18,1,"simulated",1,TRUE,"sim_887"
4,34,3,"simulated",3,FALSE,"sim_888"
4,34,3,"simulated",3,TRUE,"sim_889"
5,47,8,"simulated",8,FALSE,"sim_890"
3,14,2,"simulated",1,TRUE,"sim_891"
3,17,1,"simulated",1,TRUE,"sim_892"
3,38,2,"simulated",2,TRUE,"sim_893"
4,33,5,"simulated",5,TRUE,"sim_897"
4,36,5,"simulated",5,FALSE,"sim_898"
4,34,6,"simulated",5,TRUE,"sim_899"
3,15,1,"simulated",1,TRUE,"sim_901"
3,24,1,"simulated",1,TRUE,"sim_902"
4,50,6,"simulated",6,FALSE,"sim_903"
3,14,1,"simulated",1,TRUE,"sim_905"
13,89,29,"simulated",29,FALSE,"sim_906"
5,44,8,"simulated",8,TRUE,"sim_908"
5,52,9,"simulated",9,FALSE,"sim_909"
4,24,5,"simulated",5,FALSE,"sim_910"
3,42,3,"simulated",3,TRUE,"sim_911"
4,27,3,"simulated",3,TRUE,"sim_912"
3,16,1,"simulated",1,TRUE,"sim_913"
4,18,4,"simulated",3,TRUE,"sim_914"
3,17,1,"simulated",1,TRUE,"sim_915"
3,14,2,"simulated",1,TRUE,"sim_916"
3,14,1,"simulated",1,TRUE,"sim_917"
6,76,13,"simulated",13,FALSE,"sim_918"
4,31,4,"simulated",4,FALSE,"sim_919"
4,32,4,"simulated",3,TRUE,"sim_920"
4,24,7,"simulated",7,FALSE,"sim_921"
4,23,4,"simulated",4,FALSE,"sim_922"
12,103,33,"simulated",33,FALSE,"sim_924"
3,37,3,"simulated",3,TRUE,"sim_925"
3,35,2,"simulated",1,TRUE,"sim_928"
3,9,1,"simulated",1,TRUE,"sim_930"
3,42,3,"simulated",1,FALSE,"sim_931"
3,15,1,"simulated",1,TRUE,"sim_934"
3,22,1,"simulated",1,TRUE,"sim_935"
3,34,1,"simulated",1,TRUE,"sim_936"
3,31,3,"simulated",1,TRUE,"sim_937"
4,66,6,"simulated",6,TRUE,"sim_938"
15,116,43,"simulated",43,FALSE,"sim_939"
3,34,4,"simulated",2,FALSE,"sim_940"
3,25,1,"simulated",1,TRUE,"sim_942"
3,25,2,"simulated",2,TRUE,"sim_943"
3,13,2,"simulated",2,FALSE,"sim_944"
4,25,3,"simulated",3,TRUE,"sim_945"
3,9,1,"simulated",1,TRUE,"sim_946"
5,48,7,"simulated",6,TRUE,"sim_947"
4,32,5,"simulated",5,FALSE,"sim_948"
3,18,2,"simulated",2,TRUE,"sim_949"
3,14,2,"simulated",2,TRUE,"sim_950"
3,19,1,"simulated",1,TRUE,"sim_951"
7,61,17,"simulated",17,FALSE,"sim_952"
4,49,4,"simulated",4,TRUE,"sim_953"
3,16,1,"simulated",1,TRUE,"sim_956"
3,33,1,"simulated",1,TRUE,"sim_957"
3,21,1,"simulated",1,TRUE,"sim_958"
3,21,1,"simulated",1,TRUE,"sim_959"
6,55,10,"simulated",10,FALSE,"sim_960"
4,30,5,"simulated",5,FALSE,"sim_961"
4,41,4,"simulated",4,TRUE,"sim_964"
3,32,3,"simulated",3,TRUE,"sim_965"
9,79,19,"simulated",19,FALSE,"sim_967"
4,46,9,"simulated",8,FALSE,"sim_968"
4,40,5,"simulated",5,FALSE,"sim_970"
3,6,1,"simulated",1,TRUE,"sim_971"
6,51,12,"simulated",12,FALSE,"sim_972"
6,57,9,"simulated",9,FALSE,"sim_973"
3,30,2,"simulated",2,TRUE,"sim_974"
3,14,2,"simulated",1,FALSE,"sim_975"
3,15,1,"simulated",1,TRUE,"sim_976"
4,36,4,"simulated",4,FALSE,"sim_978"
4,25,2,"simulated",2,TRUE,"sim_979"
3,22,2,"simulated",2,TRUE,"sim_980"
5,36,6,"simulated",5,FALSE,"sim_983"
3,19,1,"simulated",1,TRUE,"sim_984"
5,45,7,"simulated",7,FALSE,"sim_985"
3,32,2,"simulated",2,TRUE,"sim_988"
3,24,3,"simulated",2,TRUE,"sim_989"
5,50,9,"simulated",9,TRUE,"sim_990"
3,36,5,"simulated",3,TRUE,"sim_991"
3,15,3,"simulated",2,TRUE,"sim_992"
3,40,4,"simulated",2,TRUE,"sim_993"
4,44,7,"simulated",6,TRUE,"sim_994"
3,22,2,"simulated",1,TRUE,"sim_995"
5,38,6,"simulated",6,FALSE,"sim_998"
4,48,5,"simulated",5,TRUE,"sim_999"
6,71,18,"simulated",18,FALSE,"sim_1000"
3,22,1,"simulated",1,TRUE,"sim_1001"
3,36,2,"simulated",2,TRUE,"sim_1002"
4,36,8,"simulated",7,FALSE,"sim_1003"
3,23,2,"simulated",2,FALSE,"sim_1004"
5,47,7,"simulated",6,TRUE,"sim_1005"
6,63,12,"simulated",12,FALSE,"sim_1008"
5,49,7,"simulated",7,FALSE,"sim_1009"
7,65,20,"simulated",20,FALSE,"sim_1010"
5,52,11,"simulated",11,FALSE,"sim_1011"
4,41,5,"simulated",4,TRUE,"sim_1012"
3,19,3,"simulated",3,FALSE,"sim_1014"
17,103,41,"simulated",41,FALSE,"sim_1015"
3,26,1,"simulated",1,TRUE,"sim_1016"
4,44,8,"simulated",8,FALSE,"sim_1019"
4,57,5,"simulated",5,TRUE,"sim_1020"
3,28,2,"simulated",1,TRUE,"sim_1022"
4,51,7,"simulated",7,FALSE,"sim_1023"
3,27,2,"simulated",2,TRUE,"sim_1024"
12,95,33,"simulated",33,FALSE,"sim_1025"
72,284,215,"simulated",215,FALSE,"sim_1026"
5,56,9,"simulated",9,FALSE,"sim_1027"
33,165,93,"simulated",93,FALSE,"sim_1028"
3,25,2,"simulated",2,TRUE,"sim_1030"
4,56,4,"simulated",3,TRUE,"sim_1031"
3,29,2,"simulated",1,TRUE,"sim_1032"
3,25,2,"simulated",1,TRUE,"sim_1033"
11,84,26,"simulated",26,FALSE,"sim_1034"
4,40,6,"simulated",6,TRUE,"sim_1035"
6,64,14,"simulated",14,FALSE,"sim_1036"
4,28,4,"simulated",4,FALSE,"sim_1038"
4,49,5,"simulated",5,TRUE,"sim_1040"
10,89,22,"simulated",21,FALSE,"sim_1041"
3,33,2,"simulated",2,TRUE,"sim_1042"
8,83,18,"simulated",18,TRUE,"sim_1043"
3,42,3,"simulated",3,TRUE,"sim_1044"
3,20,1,"simulated",1,TRUE,"sim_1045"
6,56,12,"simulated",12,FALSE,"sim_1046"
4,37,4,"simulated",4,FALSE,"sim_1047"
5,64,11,"simulated",10,FALSE,"sim_1048"
4,28,3,"simulated",3,TRUE,"sim_1049"
4,41,4,"simulated",4,TRUE,"sim_1050"
4,49,5,"simulated",5,FALSE,"sim_1051"
3,36,1,"simulated",1,TRUE,"sim_1052"
3,30,2,"simulated",2,TRUE,"sim_1053"
5,48,10,"simulated",10,FALSE,"sim_1054"
4,29,6,"simulated",6,FALSE,"sim_1055"
3,36,2,"simulated",2,FALSE,"sim_1056"
4,31,4,"simulated",4,FALSE,"sim_1057"
