posvar,posmean,norm,fenergy
1337.0410379005812,-0.09156526054603165,-45937.260756965814,NaN
1473.0050934631415,-2.460919529841132,-8.844654253348879e9,NaN
1593.017186236521,-4.020119217842991,-3.857067989790657e16,NaN
1611.9378671105171,-3.891073715351272,-9.779157986065946e22,NaN
1972.2148975939351,-6.537372235765485,-4.043209143711101e29,-158.95972046458724
2364.3358962756533,-31.273049352861218,-1.8163817880645492e36,-119.23449940891965
2534.541587704164,-46.28392067938431,-8.159960770627684e42,-105.6095056380293
2601.126831492825,-77.64320655528489,-3.665801992494794e49,-109.22416280173366
2682.7712934334086,-27.65863443170146,-1.6468344181935361e56,-103.3018165881308
2789.4422353293307,-37.26841765412939,-7.39828175798754e62,-97.0647129283359
2827.117052127781,-57.38736302391485,-3.3236233324908896e69,-95.64923799669873
2838.941767321654,-8.241800138945788,-1.4931131873088718e76,-95.24053186661945
2836.3007395676,-4.708909008149277,-6.707700503609234e82,-95.30615470926318
2836.985666612795,6.844245057875141,-3.0133848142627266e89,-93.28531584334291
2835.733992444667,23.657722076821504,-1.3537408287599036e96,-95.1555962658233
2839.539523396454,9.833567092147325,-6.081580496382535e102,-88.40864186720091
2841.798315318492,-4.8513619793828475,-2.7321050343041816e109,-85.97009034053372
2840.5932922287184,1.7949236450066541,-1.2273779690839003e116,-85.10438799214762
2840.8101648636075,-26.72736235040159,-5.5139047001397024e122,-82.0779464405648
2839.284472369943,-20.938317951480002,-2.4770808836429887e129,-82.72548361166582
2837.9413756638933,-15.356944299336881,-1.1128102565780726e136,-83.79160665567179
2837.5169692028508,-28.829109428616093,-4.999217729718014e142,-83.59300758516292
2837.034578065084,-31.88651414429928,-2.245861570864622e149,-83.5597123763871
2835.978259486337,-32.397212938175194,-1.0089366913353093e156,-83.63827361190943
2835.1235307569814,-30.86914392432401,-4.532573424508716e162,-83.57762843936871
2835.0203799247834,-27.675037701831226,-2.0362250699172025e169,-84.24549429940771
2834.7506848649255,-21.190607172578623,-9.147590445947879e175,-84.4003683462272
2834.2837286998415,-12.38093043312764,-4.109487315672783e182,-84.16036046730528
2833.9558223373106,-6.257120550220627,-1.8461567663598642e189,-84.55847604770656
2833.570914091594,-6.575894841599763,-8.293722657270984e195,-84.22015196266261
2833.2844083810587,1.007352010446273,-3.7258935302313226e202,-83.44512989436976
2833.149244476728,1.1942389221257326,-1.673830096844298e209,-83.18962630418696
2833.0640524676605,-2.6225269924952683,-7.519557846645838e215,-83.01258517934707
2833.0081601942916,-7.457736218933425,-3.3781057178775863e222,-82.79607549768343
2832.9681696089533,-12.154052501915823,-1.517588995774193e229,-82.78218845939341
2832.9379589517307,-20.184134998456692,-6.817656261929875e235,-82.6234916473129
2832.9163188801854,-25.558231765550627,-3.0627816250156583e242,-82.47502385079565
2832.900370502586,-29.804908805439986,-1.375931980454258e249,-82.35119269340021
2832.8888257560616,-30.894510682468475,-6.181272603224194e255,-82.33339026360659
2832.8811378148916,-29.126996303981624,-2.7768909755812048e262,-82.55757680107808
2832.8756631237297,-25.717381174501053,-1.247497721786637e269,-82.93258657738033
2832.871929251741,-20.460729822635074,-5.604291200295058e275,-83.31203309617149
2832.869426590315,-13.922700397326711,-2.517686349977674e282,-83.63337062959658
2832.8676315643374,-8.66975332534162,-1.131051961848483e289,-83.75462932442451
2832.8663077406363,-4.857052117004137,-5.081167240759127e295,-83.61682998844162
2832.8653050829494,-3.0102730758178975,-2.2826767822734556e302,-83.32040247365921
