posvar,posmean,norm,fenergy
1377.083371676962,-0.11292727066238513,-4.7039204484219505e10,-589.6814045656529
1415.525174181503,-0.4223119011211169,-2.1132014525375818e17,-453.70111874825125
1481.4586164144728,-2.1975514975714896,-9.493401148617598e23,-325.95863773675
1576.9288223159608,-2.5446487685313297,-4.264840214847963e30,-261.1980116403379
1814.9635185320972,-12.116592488943796,-1.9159479067028598e37,-194.6219005442947
2097.031599916042,-30.608931837979526,-8.607254190717508e43,-173.598800812297
2248.985438534758,-48.0577612873754,-3.866745251498821e50,-155.88195019336194
2423.521475361756,-59.60545765622857,-1.7371066903209862e57,-134.32071850307398
2565.728921782529,-48.77412425471456,-7.803823260371946e63,-120.76071571791249
2646.1938884060974,-45.8724240055438,-3.505809851429977e70,-106.40736036138833
2702.9162222875475,-40.86625340082536,-1.574959132762014e77,-104.60630520487325
2739.2846297509486,-11.874161069218584,-7.075387356957526e83,-98.22252201631909
2764.6759984412893,-17.458920473540758,-3.178565412246727e90,-98.17943016148024
2782.7946028697547,24.45600259190124,-1.4279469900677875e97,-96.80373818389512
2796.473700946605,15.829070659997797,-6.414946184802264e103,-94.1614044920093
2806.621172634981,18.283401336202655,-2.881867102920655e110,-89.58488616925001
2814.028498187495,16.750441845380667,-1.2946574701705418e117,-86.52744994038062
2819.6822079940735,1.3604885337683112,-5.81615288008836e123,-86.0450898438794
2823.6118319114175,-6.7234107299659485,-2.612863641848385e130,-85.66038015440381
2826.1040188956167,-23.046898193074313,-1.173809655909438e137,-85.7861195951075
2827.955265905421,-32.35059952550842,-5.273253017258621e143,-85.59685683370685
2829.2620418986394,-45.56144077475282,-2.3689698959311096e150,-84.62189583593772
2830.1962501920493,-47.647652023964966,-1.0642421953698206e157,-84.08405664564498
2830.9638173518915,-44.452719688587514,-4.7810293087764506e163,-84.25545820363959
2831.5389056655067,-35.96390105870834,-2.1478420373509274e170,-84.93330124660997
2831.923527333477,-24.653816856681075,-9.649021412488277e176,-85.84041846759851
2832.1851635233015,-11.827153272658236,-4.334751466801896e183,-86.62343551291565
2832.369773260911,-4.586974766897524,-1.9473550192998996e190,-86.77276056237247
2832.5038196863547,4.903377322500015,-8.748348319933366e196,-86.40475915598199
2832.6035091283006,8.278647016202795,-3.9301307449524996e203,-85.33900017723522
2832.6762866570166,9.714233192744906,-1.7655821542023993e210,-84.34298210455017
2832.728862461081,4.572318555329123,-7.931747174674877e216,-83.72570708551461
2832.7665727327685,-3.397140970553442,-3.5632787232935963e223,-83.36637858627364
2832.793332534155,-12.456000128437143,-1.6007765981771002e230,-83.19586351840053
2832.8123492691643,-21.938921717001637,-7.191370409842362e236,-83.13258831209623
2832.8259619956334,-30.016768858524983,-3.2306699404806495e243,-82.9692279020785
2832.8358283174716,-34.78036153285631,-1.4513545638033734e250,-82.79605986049592
2832.8431447806247,-36.389449178529766,-6.52010297764893e256,-82.8140077713806
2832.848457002905,-34.58431133043616,-2.929108013946746e263,-83.03708801208768
2832.8522819610785,-29.73202829833537,-1.315880099866272e270,-83.54144358748749
2832.8550913322547,-22.75261268683531,-5.911493973521828e276,-84.15494859812975
2832.857152803822,-14.827890017358378,-2.6556949225492747e283,-84.63456049383217
2832.858650889817,-7.26637227117494,-1.1930512918128388e290,-84.77033679209535
2832.859739617859,-1.5629262146397638,-5.359694642673597e296,-84.53591818011273
2832.8605320425845,1.28162118535287,-2.4078031564807585e303,-84.02800130211335
2832.861109728375,1.4712950600817754,-Inf,-83.44361400408343
2832.8615330189177,-1.338866716304669,NaN,-82.9885219200819
2832.8618405344646,-6.481811636249645,NaN,-82.72828287524271
2832.8620632648017,-12.76989374392259,NaN,-82.61316689329237
2832.862224588062,-19.431408800101337,NaN,-82.55248757728714
2832.8623414596277,-25.113173184505012,NaN,-82.48098039843853
2832.8624262361973,-29.047945010791896,NaN,-82.41608661578562
2832.862487671161,-30.54293992650007,NaN,-82.43259902025443
2832.862532225107,-29.431080821008432,NaN,-82.60533786378255
2832.862564476846,-26.086270804349645,NaN,-82.933803193117
2832.8625877975737,-21.134931774831706,NaN,-83.32125916510518
2832.8626046820227,-15.467831768704455,NaN,-83.63413090603626
2832.862616920271,-10.113240552656551,NaN,-83.75173113954452
2832.862625795201,-5.901695506372787,NaN,-83.63622503831789
2832.8626322312853,-3.5329468277840963,NaN,-83.34549226052354
2832.862636895637,-3.3021507840910207,NaN,-82.99184696364841
2832.8626402739033,-5.185906425287345,NaN,-82.68026985099277
2832.8626427255604,-8.746205175923542,NaN,-82.4660072619779
2832.862644501464,-13.333252355570574,NaN,-82.34232505081627
2832.862645789964,-18.11554444206052,NaN,-82.27182145926554
2832.862646724631,-22.27124196810752,NaN,-82.22671164957978
2832.8626474010175,-25.145378404692156,NaN,-82.21424909911752
2832.8626478878687,-26.306028151031782,NaN,-82.26644706877914
2832.862648241998,-25.62421515594953,NaN,-82.4112319113483
2832.8626484994065,-23.310037818374617,NaN,-82.64001830520169
2832.8626486865264,-19.810990060350118,NaN,-82.89766444753559
2832.8626488215255,-15.77340470924395,NaN,-83.10356794483823
2832.8626489187363,-11.899622199466764,NaN,-83.18951537741941
2832.8626489898534,-8.83276298736232,NaN,-83.13109360862882
2832.8626490417173,-7.056034708383019,NaN,-82.95678307586104
2832.8626490798006,-6.808730088671454,NaN,-82.7291006041296
2832.862649106333,-8.067159837052747,NaN,-82.51257029903672
2832.862649126317,-10.55362863294331,NaN,-82.34628228387805
2832.862649139742,-13.795674262717831,NaN,-82.23750174207726
2832.862649148553,-17.21755579992096,NaN,-82.17405929865913
2832.8626491550012,-20.234226123687048,NaN,-82.14440481828797
2832.8626491595273,-22.357141499448712,NaN,-82.1507969974823
2832.8626491627683,-23.266961872950425,NaN,-82.20639541475316
2832.862649164693,-22.864073597160353,NaN,-82.32015472395165
2832.8626491664245,-21.273245979153973,NaN,-82.48138440701064
2832.8626491672703,-18.813129552398,NaN,-82.65535724509209
2832.8626491679943,-15.936012241933124,NaN,-82.79434289243818
2832.86264916834,-13.143590797789143,NaN,-82.8576280803959
2832.862649169039,-10.901506320878983,NaN,-82.82936611468972
2832.862649169334,-9.563862433171535,NaN,-82.72383042641377
2832.862649169328,-9.31548921767117,NaN,-82.5763142971914
2832.862649169849,-10.151589129700715,NaN,-82.42597939341863
2832.8626491699183,-11.884113783577252,NaN,-82.30068756422816
2832.8626491700193,-14.182683449985658,NaN,-82.21148181327862
2832.862649169995,-16.63595886393472,NaN,-82.15751878872425
2832.862649170101,-18.824532574938978,NaN,-82.13557976688185
2832.8626491701334,-20.391724613761397,NaN,-82.14667806298189
2832.8626491696714,-21.100908374714518,NaN,-82.19517972601693
2832.8626491698383,-20.870013740972535,NaN,-82.28186365409829
2832.8626491700916,-19.7789152975718,NaN,-82.39655497678609
2832.862649169975,-18.048389538494543,NaN,-82.51643210427733
2832.862649170202,-15.997510960756497,NaN,-82.61215764417284
2832.8626491702116,-13.985137363484473,NaN,-82.65887828433597
2832.8626491701793,-12.348176680439419,NaN,-82.64606388780066
2832.86264916988,-11.34566278141568,NaN,-82.58088486228053
2832.8626491700597,-11.118624152198082,NaN,-82.48372423432693
2832.8626491695527,-11.671537570181016,NaN,-82.37893787567214
2832.862649169912,-12.877458008930647,NaN,-82.28612200949397
2832.8626491698215,-14.505110653541715,NaN,-82.21610704522391
2832.862649169708,-16.262388553356004,NaN,-82.17239917422239
2832.8626491695936,-17.848003420671393,NaN,-82.15546480496141
2832.862649169616,-19.00273339260077,NaN,-82.1659965563756
2832.862649169676,-19.55105071701247,NaN,-82.20474147531513
2832.8626491693917,-19.427098312537467,NaN,-82.26938160077111
2832.862649169457,-18.680966147418154,NaN,-82.35125268361253
2832.86264916948,-17.465223247474746,NaN,-82.4349214143001
2832.862649169731,-16.00480132298673,NaN,-82.50179234344796
2832.8626491695254,-14.556007389175063,NaN,-82.53626040308336
2832.8626491691734,-13.362045024921372,NaN,-82.53126408528078
2832.8626491692908,-12.612685261318887,NaN,-82.49038558357643
2832.862649168685,-12.414639332280663,NaN,-82.42564079195813
2832.862649168709,-12.777259613768765,NaN,-82.3524425330254
2832.8626491686127,-13.615159119217905,NaN,-82.28450423812251
2832.8626491686364,-14.766724007899828,NaN,-82.23100364996571
2832.862649168707,-16.02459928203404,NaN,-82.19661522856313
2832.8626491685736,-17.172563343097227,NaN,-82.18324285512927
2832.8626491687455,-18.022286580465714,NaN,-82.19154514207708
2832.8626491688087,-18.443798651650887,NaN,-82.22096750593118
2832.8626491691834,-18.38481261867474,NaN,-82.2684254228725
2832.8626491688306,-17.876147454853992,NaN,-82.32697094227092
2832.8626491694654,-17.022922186578324,NaN,-82.3859468499445
2832.8626491690898,-15.983651753871072,NaN,-82.43321568952115
2832.862649169152,-14.941250001832728,NaN,-82.45870123022542
2832.8626491692667,-14.071206327863889,NaN,-82.45758640349163
2832.862649169351,-13.512383458874783,NaN,-82.43162794353316
2832.8626491693963,-13.345252396157768,NaN,-82.38805939004942
2832.862649169089,-13.580894560382934,NaN,-82.33680320121402
2832.862649169395,-14.162155273162455,NaN,-82.28744296256718
2832.8626491696787,-14.976225300673367,NaN,-82.24725019928496
2832.8626491692685,-15.87603878903592,NaN,-82.22071440831814
2832.862649169639,-16.7065005992725,NaN,-82.21009141699028
2832.862649169345,-17.330927713468903,NaN,-82.21604314122737
2832.8626491691525,-17.653238843451245,NaN,-82.23769839861029
2832.862649169699,-17.632353453719762,NaN,-82.27215448032211
2832.8626491696737,-17.286709309520965,NaN,-82.314045095025
2832.8626491692585,-16.688572983032426,NaN,-82.35590503319122
2832.862649169418,-15.949542409124954,NaN,-82.38961103409792
2832.862649169201,-15.200063571119442,NaN,-82.40848746167262
2832.8626491695168,-14.566667268363117,NaN,-82.40919358401084
2832.8626491692357,-14.150854813451437,NaN,-82.39255321868404
2832.8626491691057,-14.013111609619555,NaN,-82.36300842834476
2832.8626491692517,-14.164516558624465,NaN,-82.3270460205706
2832.8626491687482,-14.56702632551542,NaN,-82.2913651564495
2832.86264916911,-15.142011584315727,NaN,-82.26151494866781
2832.8626491694254,-15.785248558581053,NaN,-82.24131698675205
2832.8626491693203,-16.38556460417462,NaN,-82.23289767376059
2832.8626491689492,-16.843841678021143,NaN,-82.23689532174171
2832.862649169123,-17.08916566135627,NaN,-82.25249938474803
2832.862649168722,-17.089528945853754,NaN,-82.27730571346956
2832.862649168538,-16.855522893715843,NaN,-82.30727309817257
2832.8626491684554,-16.436703583646853,NaN,-82.33712448123606
2832.862649168157,-15.911561255134162,NaN,-82.3613120414077
2832.8626491681284,-15.373058372352205,NaN,-82.37531256803595
2832.862649167963,-14.91236236336045,NaN,-82.37677229423866
2832.8626491681252,-14.60358749354733,NaN,-82.36603851993095
2832.862649168051,-14.492069064594334,NaN,-82.34588719632075
2832.862649168473,-14.587988630373294,NaN,-82.32061581281937
2832.8626491682053,-14.86618997906897,NaN,-82.2949127122431
2832.8626491683494,-15.271947584321786,NaN,-82.27291851453037
2832.8626491683494,-15.731458362204664,NaN,-82.25769510187479
2832.862649168034,-16.165086335299065,NaN,-82.25106110629963
2832.862649168068,-16.501012604019184,NaN,-82.25360053515396
2832.862649168091,-16.686976677583118,NaN,-82.26467509460008
2832.862649168525,-16.69821718906864,NaN,-82.2824194358659
2832.862649168252,-16.540441365181994,NaN,-82.30384385154457
